City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,kirakira,-10.4544,161.9205,28.8,77,96,3.43,SB,1698702864
118,magadan,59.5667,150.8,-8.41,82,4,1.56,RU,1698702755
119,port shepstone,-30.7414,30.455,12.82,89,100,1.6,ZA,1698702875
120,bilibino,68.0546,166.4372,-18.44,75,53,1.57,RU,1698702718
121,enriquillo,17.9,-71.2333,29.82,90,100,1.19,DO,1698703295
122,klyuchi,52.2667,79.1667,4.91,98,100,1.72,RU,1698702838
123,acapulco de juarez,16.8634,-99.8901,29.2,76,48,2.01,MX,1698702622
124,dunedin,-45.8742,170.5036,18.37,71,100,4.92,NZ,1698702878
125,machico,32.7,-16.7667,21.51,89,75,3.09,PT,1698703297
126,piti village,13.4626,144.6933,29.03,88,99,5.26,GU,1698703298
127,port elizabeth,-33.918,25.5701,15.17,86,75,6.69,ZA,1698702742
128,greymouth,-42.4667,171.2,12.62,79,100,4.22,NZ,1698702753
129,al bardiyah,31.7561,25.0865,21.3,79,86,2.47,LY,1698703300
130,charters towers,-20.1,146.2667,22.76,52,25,3.81,AU,1698703243
131,port mathurin,-19.6833,63.4167,24.7,81,4,7.64,MU,1698702844
132,merzifon,40.8733,35.4631,9.7,87,0,2.06,TR,1698703301
133,caninde,-4.3589,-39.3117,28.06,48,75,3.04,BR,1698703302
134,dhola,21.8833,71.7833,25.5,35,27,1.36,IN,1698703302
135,pommelsbrunn,49.5044,11.511,12.58,94,100,5.17,DE,1698703303
136,mantua,45.1667,10.7833,17.97,91,100,2.24,IT,1698703303
137,sola,-13.8833,167.55,27.37,89,75,0.0,VU,1698702847
138,madras,13.0878,80.2785,26.65,88,75,2.06,IN,1698703219
139,san luis,-33.295,-66.3356,17.0,27,32,10.03,AR,1698703305
140,lihue,21.9789,-159.3672,27.77,72,20,4.12,US,1698702817
141,dryden,49.7833,-92.7503,-2.84,86,100,2.57,CA,1698703179
142,tura,25.5198,90.2201,18.38,91,54,1.79,IN,1698702820
143,constantia,44.1833,28.65,14.38,73,0,3.24,RO,1698702807
144,dawson creek,55.7666,-120.2362,5.8,52,20,2.06,CA,1698703307
145,richards bay,-28.783,32.0377,14.66,84,97,3.64,ZA,1698703308
146,bambui,-20.0064,-45.9769,25.17,69,98,2.64,BR,1698703309
147,puerto baquerizo moreno,-0.9,-89.6,27.55,69,75,6.17,EC,1698702752
148,jamestown,42.097,-79.2353,6.77,95,100,5.66,US,1698702535
149,sao joao da barra,-21.6403,-41.0511,26.05,95,81,1.21,BR,1698702816
150,alice springs,-23.7,133.8833,22.75,17,60,3.6,AU,1698702821
151,cabo san lucas,22.8909,-109.9124,32.01,68,2,0.89,MX,1698703212
152,vorgashor,67.5833,63.95,-11.37,87,100,4.47,RU,1698702848
153,ellensburg,46.9965,-120.5479,9.58,46,0,3.09,US,1698703033
154,happy valley-goose bay,53.3168,-60.3315,0.17,40,40,6.69,CA,1698703314
155,crane,31.3974,-102.3501,6.64,39,59,3.69,US,1698702830
156,hami,42.8,93.45,10.15,47,50,0.48,CN,1698702850
157,selfoss,63.9331,-20.9971,0.02,80,36,3.72,IS,1698702840
158,kingston,17.997,-76.7936,29.58,77,40,2.57,JM,1698703013
159,fale old settlement,-9.3852,-171.2468,28.34,78,53,7.07,TK,1698702720
160,dudinka,69.4058,86.1778,-16.85,97,100,0.89,RU,1698702804
161,makamba,-4.1348,29.804,19.3,74,68,1.62,BI,1698703318
162,bereznik,62.8551,42.7072,-5.99,89,37,1.53,RU,1698702891
163,karukh,34.4811,62.5863,13.7,45,65,7.58,AF,1698703319
164,gorele,41.0308,39.0031,17.9,73,88,1.33,TR,1698703320
165,margate,51.3813,1.3862,9.94,93,100,4.33,GB,1698702867
166,ola,59.5833,151.2833,-6.48,71,5,2.54,RU,1698702834
167,makushino,55.2103,67.2442,-3.26,96,100,4.44,RU,1698703322
168,bac lieu,9.285,105.7244,24.87,93,82,2.7,VN,1698703323
169,hasaki,35.7333,140.8333,12.94,58,0,2.73,JP,1698702824
170,karratha,-20.7377,116.8463,26.71,50,72,3.16,AU,1698702820
171,san patricio,28.017,-97.5169,9.97,59,100,9.07,US,1698702727
172,mareeba,-17.0,145.4333,21.91,74,64,2.04,AU,1698703326
173,chonchi,-42.6128,-73.8092,10.07,92,76,1.3,CL,1698702746
174,queenstown,-31.8976,26.8753,7.67,77,74,3.53,ZA,1698702895
175,taro,-8.3862,115.28,22.0,92,74,0.3,ID,1698703328
176,flying fish cove,-10.4217,105.6791,25.82,88,100,4.12,CX,1698702830
177,igarka,67.4667,86.5833,-17.66,97,96,1.6,RU,1698703329
178,port alfred,-33.5906,26.891,13.99,94,62,0.45,ZA,1698702827
179,farsala,39.2947,22.3847,19.63,70,0,0.93,GR,1698703331
180,vila velha,-20.3297,-40.2925,26.08,82,0,7.72,BR,1698702858
181,badger,64.8,-147.5333,1.31,86,100,0.0,US,1698702824
182,mumford,5.2618,-0.759,26.45,89,4,2.56,GH,1698703333
183,kurchatov,51.6601,35.6521,13.01,79,82,5.53,RU,1698702838
184,luau,-10.7073,22.2247,19.09,95,100,1.24,AO,1698703334
185,solnechnyy,50.7214,136.6319,0.57,70,56,0.79,RU,1698703335
186,wenling,28.3669,121.36,15.95,92,0,1.12,CN,1698703336
187,pestovo,58.5938,35.8024,-1.18,95,100,1.05,RU,1698703337
188,lakatoro,-16.0999,167.4164,27.07,77,39,4.87,VU,1698703338
189,longyearbyen,78.2186,15.6401,0.91,69,75,2.57,SJ,1698702736
190,pacific grove,36.6177,-121.9166,25.86,21,0,3.6,US,1698702830
191,mount gambier,-37.8333,140.7667,11.74,57,76,3.22,AU,1698702765
192,maragogi,-9.0122,-35.2225,25.14,69,63,4.5,BR,1698703341
193,kristiansund,63.1115,7.732,-1.64,74,0,1.54,NO,1698702823
194,luorong,24.4058,109.6086,18.51,72,100,1.48,CN,1698703342
195,micheweni,-4.9667,39.8333,26.53,82,21,3.32,TZ,1698703343
196,xam nua,20.4197,104.0439,15.46,99,100,0.59,LA,1698703345
197,st. john's,47.5649,-52.7093,4.53,72,100,4.63,CA,1698702729
198,murghob,38.1702,73.9667,-1.18,53,45,1.79,TJ,1698703347
199,bandar abbas,27.1865,56.2808,25.99,73,40,3.09,IR,1698703232
200,qarazhal,48.0078,70.7903,7.56,80,100,5.55,KZ,1698703349
201,ust'-ilimsk,58.0006,102.6619,-9.76,94,72,1.79,RU,1698702893
202,dutsin-ma,12.4517,7.4981,27.81,21,76,4.24,NG,1698703351
203,vila franca do campo,37.7167,-25.4333,18.23,99,17,2.73,PT,1698702816
204,al burayqah,30.4062,19.5739,23.0,71,12,4.7,LY,1698703352
205,iskateley,67.6803,53.1512,-6.66,95,98,4.47,RU,1698702827
206,villa gesell,-37.2639,-56.973,13.36,58,26,7.4,AR,1698703263
207,vilyuchinsk,52.9306,158.4028,1.15,77,65,3.19,RU,1698703232
208,enewetak,11.3474,162.3373,28.62,79,93,9.7,MH,1698702822
209,west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1698702815
210,tinajo,29.0788,-13.7081,21.49,78,20,2.06,ES,1698703356
211,qaqortoq,60.7167,-46.0333,5.31,58,100,6.08,GL,1698702825
212,flin flon,54.7682,-101.865,-6.09,63,100,4.63,CA,1698702895
213,brookings,44.3114,-96.7984,5.1,47,0,9.26,US,1698702739
214,kolonia town,6.964,158.206,29.06,84,100,1.54,FM,1698703359
215,stanley,54.868,-1.6985,7.09,95,75,2.06,GB,1698702815
216,las cruces,32.3123,-106.7783,12.42,35,0,2.24,US,1698703342
217,mata-utu,-13.2816,-176.1745,28.4,76,25,6.78,WF,1698702859
218,eten,-6.9081,-79.8642,23.14,68,0,11.32,PE,1698703362
219,atafu village,-8.5421,-172.5159,28.92,76,53,7.08,TK,1698702832
220,clodomira,-27.5744,-64.1311,20.9,56,95,6.05,AR,1698703363
221,el reno,35.5323,-97.955,7.31,45,0,4.12,US,1698703249
222,viota,4.4371,-74.5216,26.79,71,100,0.85,CO,1698703364
223,paliano,41.8056,13.0576,20.94,41,97,2.81,IT,1698703364
224,phan rang-thap cham,11.5667,108.9833,23.92,87,100,1.7,VN,1698703365
225,aasiaat,68.7098,-52.8699,-3.81,77,6,8.36,GL,1698702819
226,plettenberg bay,-34.0527,23.3716,12.93,74,0,4.88,ZA,1698703366
227,ogoja,6.6547,8.7976,23.18,92,100,0.69,NG,1698703367
228,namibe,-15.1961,12.1522,19.33,81,0,3.49,AO,1698702838
229,itaituba,-4.2761,-55.9836,31.09,66,75,1.44,BR,1698702763
230,sittwe,20.15,92.9,24.77,86,16,2.97,MM,1698703368
231,alofi,-19.0595,-169.9187,26.94,65,75,5.66,NU,1698702723
232,kununurra,-15.7667,128.7333,25.99,83,58,3.6,AU,1698703369
233,margaret river,-33.95,115.0667,9.18,90,47,3.95,AU,1698702835
234,itabira,-19.6192,-43.2269,23.42,83,96,1.65,BR,1698703370
235,fort bragg,35.139,-79.006,29.32,47,0,6.69,US,1698702823
236,cabeza del buey,38.7223,-5.2195,12.05,67,100,1.53,ES,1698703372
237,nantucket,41.2835,-70.0995,14.08,97,100,5.95,US,1698703086
